id;type;name;other;in;right-to;left-to;between;next-to;in-front-of;behind;have;northeast;northwest;southeast;southwest
drug1;drugstore;farmacia durao;;str3;rest2;;;rest2,chur1;chur1;;;;;;monu1
park1;park;chiado;;str19;;chur2;;chur2,pub2;pub2;;;;;;
chur1;church;;;;;;[str6,str3];drug1,rest2;drug1;;;rest2;;;
rest2;restaurant;vitaminas garret;;str3;sub1;drug1;[sub1,drug1];drug1,sub1,chur1;;;;chur1;rest5;;
sub1;subway;baixa/chiado;;str3;;ban1,rest2;;ban1,rest5,rest2;rest5;;;;;;
ban1;bank;;;str3,str10,pos5,pos6;sub1;chur3;[str3,str10];sub1,chur3;;;;;;;
rest3;restaurant;kaffeehaus;;str6,pos4;;;;chur1;;chur1;;;;;
rest5;restaurant;taberna do chiado;;;;;[str3,str9,str10];sub1,ban1,rest5;;sub1;;;ban1;;
chur2;church;;;str16;park1;;;park1;;;;;;;
chur3;church;;;;;;[str11,str14];str14,str11;;;;;;;
str3;street;rua garret;;;;;;drug1,rest2,sub1,ban1,pos5,str9,str10;;;drug1,rest2,sub1,ban1,pos5;;;;
str6;street;rua anchieta;;;;str9;;rest3,pos4,str3,str9;;;rest3,pos4,chur1;;;;
str9;street;rua ivens;;;str6;str10;[str6,str10];rest5,str6,str10,sid1;;;rest5;;;;
str10;street;rua nova do almada;;;str14;;;ban1,pos6,rest5,str14,sid1;;;ban1,pos6,rest5;;;;
str11;street;rua do ouro;;;str14;;;str14,str15,chur3;;;;;;;
str14;street;rua do crucifixo;;;str10;str11;[str10,str11];str10,str11,str15;;;;;;;
str15;street;rua da assuncao;;;;;;str11;;;;;;;
str16;street ;calcada do sacramento;;;;;;chur2;;;chur2;;;;
str19;street;rua almirante pessanha;;;;;;;;;park1;;;;
str20;street;rua de sao nicolau;;;;;;;;;;;;;
pos4 ;position;esquina da rua anchieta;;str6;;;;rest3;;;rest3;;;;
pos5;position;esquina da rua garret;;str3;;;;ban1;;;ban1;;;;
pos6;position;esquina da nova do almada;;str10;;;;ban1;;;ban1;;;;
sid1;sidewalk;calcada nova de sao francisco;;;;;[str9,str10];rest5,str9,str10;;;;;;;
