id;type;name;other;in;right-to;left-to;between;next-to;in-front-of;behind;have;northeast;northwest;southeast;southwest
rest4;restaurant;o sacramento;;str16;;;;park1,chur2;park1;;;;chur2;;
rest5;restaurant;taberna do chiado;;;;;[str3,str9,str10];sub1,ban1;;sub1;;;ban1;;
park1;park;chiado;;str19;;chur2;;rest4,chur2;rest4;;;;;;
chur2;church;;;str16;park1;;;rest4,park1;;;;;rest4;;
chur3;church;;;;cafe3;drug3;[cafe3,drug3];drug3,cafe3,str14;;;;;;;
sub1;subway;baixa/chiado;;str3;;ban1;;ban1,rest5;rest5;;;;;;
ban1;bank;;;str3,str10,pos5,pos6;sub1;chur3;[str3,str10]-[sub1,chur3];sub1,chur3;;;;;;;
drug3;drugstore;;;str11;drug4;;;drug4,chur3,cafe3;chur3,cafe3;;;;;;
drug4;drugstore;cortez;;str20;;drug3;;drug3,chur3,cafe3;cafe3,chur3;;;;;;
drug5;drugstore;barral;;str23;;;;drug2,drug6;;drug2;;drug6;;;
cafe3;cafe;browns coffee shop;;str13,pos8;drug3;chur3;[drug3,chur3];drug3,chur3;;;;;;;
str3;street;rua garret;;;;;;sub1,ban1,pos5,str9,str10;;;sub1,ban1,pos5;;;;
str9;street;rua ivens;;;;str10;;rest5,str10,sid1;;;rest5;;;;
str10;street;rua nova do almada;;;str14;;;ban1,pos6,rest5,str14,sid1;;;ban1,pos6,rest5;;;;
str11;street;rua do ouro;;;str14;str13;[str13,str14];drug3,drug4,str13,str14,str15;;;drug3,drug4;;;;
str13;street;rua dos sapateiros;;;str11;;;chur3,pos8,str11,str15;;;chur3,pos8;;;;
str14;street;rua do crucifixo;;;str10;str11;[str10,str11];str10,str11,str15;;;;;;;
str15;street;rua da assuncao;;;;;;str11,str13;;;;;;;
str16;street ;calcada do sacramento;;;;;;;;;rest4,chur2;;;;
str19;street;rua almirante pessanha;;;;;;;;;park1;;;;
str20;street;rua de sao nicolau;;;;;;;;;drug4;;;;
str23;street;rua augusta;;;;;;;;;drug5;;;;
pos5;position;esquina da rua garret;;str3;;;;ban1;;;ban1;;;;
pos6;position;esquina da nova do almada;;str10;;;;ban1;;;ban1;;;;
pos8;position;esquina da rua dos sapateiros;;str13;;;;;;;;;;;
sid1;sidewalk;calcada nova de sao francisco;;;;;[str9,str10];rest5,str9,str10;;;;;;;
