id;type;name;other;in;right-to;left-to;between;next-to;in-front-of;behind;have;northeast;northwest;southeast;southwest
monu1;monument;antonio ribeiro chiado;;;;str4;;cafe1,monu2,str4;monu2;;;cafe1;;;
monu2;monument;;;str3;cafe1;;;cafe1,monu1;;monu1;;;;;
cafe1;cafe;;;str3;drug1;monu2;[drug1,monu2];monu1,drug1,str2,monu2;;monu1,cafe2;;;;;
cafe2;cafe;;;pos2,pos3,str4,str7;rest3;;[str4,str7];rest3;;;;;;;
drug1;drugstore;farmacia durao;;str3;rest2;cafe1;[rest2,cafe1];cafe1,rest2,chur1,monu1,str2;chur1;;;;;;monu1
chur1;church;;;;;monu1,monu2;[str2,str6];monu1,cafe1,drug1,rest2;drug1;;;rest2;cafe1;;
rest2;restaurant;vitaminas garret;;str3;sub1;drug1;[sub1,drug1];drug1,sub1,chur1,rest5;;;;chur1;rest5;;
rest3;restaurant;kaffeehaus;;str6,str7,pos2,pos4;;;[str6,str7]-[gov1,chur1]-[gov1,cafe2];gov1,cafe2,chur1;gov1;chur1,cafe2;;;;;
neig1;neighborhood;chiado;;;;;;;;;rest2,rest3,sub1,rest5,chur1,gov1;;;;
chur2;church;;;;;;;;;;;;;;
sub1;subway;baixa/chiado;;str3;;ban1,rest2;;ban1,rest5,rest2;rest5;;;;;;
rest5;restaurant;taberna do chiado;;;;;[str3,str9];sub1,ban1,sid1;;sub1;;;ban1;;
ban1;bank;;;str3;sub1;;;sub1;;;;;;;
gov1;building;governo civil;;str7;;;;rest3;rest3;;;;;;
str2;street;rua serpa pinto;;;;;;str3,str7;;;;;;;
str3;street;rua garret;;;str24;;;cafe1,drug1,rest2,sub1,ban1str2,str9,str4;;;cafe1,drug1,rest2,sub1,ban1,monu2;;;;
str4;street;largo do picadeiro;;;str2;;;monu1,cafe2,pos3,str3,str7,str2;;;cafe2,pos3;;;;
str6;street;rua anchieta;;;str2;str9;[str2,str9];rest3,pos4,str3,str7,str2,str9;;;rest3,pos4,chur1;;;;
str7;street;rua capelo;;;;;;cafe2,pos2,rest3,str2,str6,str9,str4;;;cafe2,pos2,rest3,gov1;;;;
str9;street;rua ivens;;;str6;;;rest5,str6,sid1;;;rest5;;;;
pos2;position;esquina da rua capelo;;str7;;;;cafe2;;;cafe2;;;;
pos3;position;esquina do largo do picadeiro;;str4;;;;cafe2,rest5;;;cafe2,rest5;;;;
pos4 ;position;esquina da rua anchieta;;str6;;;;rest3;;;rest3;;;;
str24;street;travessa da trindade;;;;str3;;str2,str3;;;;;;;
sid1;sidewalk;calcada nova de sao francisco;;;;;;rest5,str9;;;;;;;
