id;type;name;other;in;right-to;left-to;between;next-to;in-front-of;behind;have;northeast;northwest;southeast;southwest
pub1;pub;carioca da trindade;;str17;;;;rest1;;rest1;;;;;
pub2;pub;;;str16;rest4;;;rest4,park1;;;;;park1;;
rest1;restaurant;aqui ha peixe;;;;;;pub1;pub1;;;;;;
rest2;restaurant;vitaminas garret;;str3;sub1;drug1;[sub1,drug1];drug1,sub1,chur1;;;;chur1;rest5;;
rest4;restaurant;o sacramento;;str16;;pub2;;park1,chur2,pub2;park1;;;;chur2;;
rest5;restaurant;taberna do chiado;;;;;;sub1,ban1;;sub1;;;ban1;;
sub1;subway;baixa/chiado;;str3;;ban1,rest2;;ban1,rest5,rest2;rest5;;;;;;
ban1;bank;;;str3,pos5,str22;sub1;chur3;[str3,str22];sub1;;;;;;;
monu1;monument;antonio ribeiro chiado;;;;;;cafe1,monu2;monu2;;;cafe1;;;
monu2;monument;;;str3;cafe1;;;cafe1,monu1;;monu1;;;;;
cafe1;cafe;;;str3;drug1;monu2;[drug1,monu2];monu1,drug1,str2,monu2;;monu1;;;;;
chur1;church;;;;;monu1,monu2;[str2,str3];monu1,cafe1,drug1,rest2;drug1;;;rest2;cafe1;;
chur2;church;;;str16;park1;;;rest4,park1,pub2;;;;;rest4,pub2;;
park1;park;chiado;;str19;;chur2;;rest4,chur2;rest4,pub2;;;;;;
drug1;drugstore;farmacia durao;;str3;rest2;cafe1;[rest2,cafe1];cafe1,rest2,chur1,monu1,str2;chur1;;;;;;monu1
str1;street;rua nova da trindade;;;;str2;;str2,str24;;;;;;;
str2;street;rua serpa pinto;;;;str1;;rest1,pos1,str1,str3,str24;;;pos1;;;;
str3;street;rua garret;;;;;;cafe1,drug1,rest2,sub1,ban1,pos5,str2;;;cafe1,drug1,rest2,sub1,ban1,pos5,monu2;;;;
str8;street;largo do carmo;;;;;;park1;;;;;;;
str16;street ;calcada do sacramento;;;;;;;;;rest4,pub2,chur2;;;;
str17;street;rua da trindade;;;;;;;;;pub1;;;;
str19;street;rua almirante pessanha;;;;;;;;;park1;;;;
str22;street;rua do carmo;;;;;;;;;ban1;;;;
pos1;position;esquina da rua serpa pinto;;str2;;;;rest1;;;;;;;
pos5;position;esquina da rua garret;;str3;;;;ban1;;;ban1;;;;
str24;street;travessa da trindade;;;;;[str1,str2];str1,str2;;;;;;;
